Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-09-23,48.5,48.85,47.75,47.85,47.85,10959704,5284.73
2016-09-22,48.3,48.8,48.1,48.6,48.6,12389106,6005.91
2016-09-21,48.45,48.6,47.7,47.75,47.85,11856378,5702.72
2016-09-20,49,49.05,48.2,48.35,48.4,9732234,4718.51
2016-09-19,48.75,49.3,48.4,48.95,48.85,13690929,6689.76
2016-09-16,49.8,50.4,48,48.35,48.25,32036172,15784.69
2016-09-15,52.2,53,49.1,49.4,49.8,48404028,24747.45
2016-09-14,50.7,51.6,50,51,51.15,20850056,10609.3
2016-09-12,49.8,50.7,48.2,49.55,49.75,15530707,7743.98
2016-09-09,51.5,52.3,50.6,50.7,50.8,19151096,9823.67
2016-09-08,50.45,51.15,49.5,51.05,50.5,14116541,7105.4
2016-09-07,49.75,50.7,49.1,50.05,49.95,15035641,7515.53
2016-09-06,49.5,49.95,48.35,49.65,49.65,18863908,9314.04
2016-09-02,49,49.9,47.35,49.2,49.25,30703945,14950.7
2016-09-01,54.2,55,48.4,49,49.1,62631050,32174.39
2016-08-31,54.25,55.35,53.45,53.8,53.95,22776173,12413.31
2016-08-30,54.25,54.65,53.55,53.75,53.75,16469003,8897.01
2016-08-29,54.15,55,52.65,53.75,53.85,28444148,15364.07
2016-08-26,51.6,54.65,51.05,53.9,53.95,42143722,22516.72
2016-08-25,52.2,52.75,51.2,51.35,51.4,18584372,9672.63
2016-08-24,51.3,52.15,51.2,51.85,52,17114058,8857.19
2016-08-23,50.35,51.65,50.25,51.35,51.35,26796769,13721.99
2016-08-22,50.1,50.9,49.05,50.35,50.55,16515879,8284.86
2016-08-19,50,51.2,49.6,50.05,50.15,15778074,7963.84
2016-08-18,49.7,50.7,49.2,49.95,50.2,15025056,7534.62
2016-08-17,47.75,49.9,47.75,49.7,49.6,18391300,9019.77
2016-08-16,48.95,48.95,47.25,47.7,47.85,15961622,7646.56
2016-08-12,48.8,49.55,48.05,48.8,49.05,12441261,6063.32
2016-08-11,48.5,49,48,48.7,48.7,10962938,5327.2
2016-08-10,50.15,50.4,48.5,48.6,48.65,16076791,7878.95
2016-08-09,51.15,51.15,49.95,50,50.1,11057633,5579.64
2016-08-08,50.9,52,50.45,51.1,51.45,16073466,8240.53
2016-08-05,49.6,51,49.3,50.5,50.7,17444688,8779.28
2016-08-04,49.8,49.8,48.45,49.2,49.2,12551096,6167.6
2016-08-03,50.7,51.3,49.05,49.1,49.35,17660216,8863.76
2016-08-02,52,52.1,50.2,50.85,50.75,19781321,10118.34
2016-08-01,53.1,53.4,51.3,51.8,51.85,21644367,11300.06
2016-07-29,51.65,53.35,51.3,52.7,52.6,29595991,15568.95
2016-07-28,51.95,52.15,51.25,51.5,51.4,19412208,10026.46
2016-07-27,51.35,52.35,50.95,51.5,51.5,18645580,9626.87
2016-07-26,51.8,52.7,50.4,50.55,50.75,22565514,11692.03
2016-07-25,51.6,51.9,51,51.8,51.55,9262372,4771.98
2016-07-22,50.25,52,49.95,51.45,51.45,16567369,8485.79
2016-07-21,50.75,51.55,49.75,50.25,50.15,16629749,8448.65
2016-07-20,49.2,50.9,48.8,50.35,50.35,28251009,14173.47
2016-07-19,49.5,49.9,48.6,48.95,49,13644786,6715.82
2016-07-18,51.6,52.05,48.8,49.1,49.45,15320187,7765.72
2016-07-15,51.6,52.2,50.4,51.4,51.6,17449613,8972.68
2016-07-14,50.9,51.75,50.35,51.15,51.25,10517664,5385.09
2016-07-13,52.4,52.4,50.3,50.45,50.75,13312656,6813.88
2016-07-12,51.85,52.65,51.3,52.1,52.15,12717629,6616.9
2016-07-11,51.05,51.8,51,51.45,51.5,13288313,6837.24
2016-07-08,52.55,52.8,50.2,50.8,50.75,18000216,9220.89
2016-07-07,52.5,53.45,52.2,52.4,52.45,17881259,9459.2
2016-07-05,51.45,53.1,51.05,52.15,52.2,23427414,12254.68
2016-07-04,51.4,52.1,51.2,51.4,51.4,15226139,7856.39
2016-07-01,51.25,51.45,50.45,50.8,50.75,17045156,8678.74
2016-06-30,49.05,51.6,48.9,51.05,50.95,54657963,27691.65
2016-06-29,48.5,49.2,48.5,48.6,48.6,15653449,7635.26
2016-06-28,48.2,48.9,47.9,48.2,48.3,16578025,8028.7
2016-06-27,47.6,48.5,47.5,47.7,47.65,18541100,8882.67
2016-06-24,48,48,45.25,47.2,47.2,41444480,19477.3
2016-06-23,48.2,50.45,48.1,49.5,49.7,41443968,20414.92
2016-06-22,48.65,48.75,47.5,47.55,47.7,16665994,8005.61
2016-06-21,48.7,49.8,48.25,48.4,48.45,26595753,13016.45
2016-06-20,46.7,49.1,46.6,48.65,48.7,26033798,12525.2
2016-06-17,47.25,47.7,46.5,47.4,47.2,15618236,7361.01
2016-06-16,47.95,48,46.4,46.75,46.75,19201154,9025.68
2016-06-15,48.05,48.35,47.65,47.75,47.8,11271259,5403.05
2016-06-14,48.1,48.6,47.6,47.65,47.8,12886688,6187.93
2016-06-13,49.3,49.35,47,47.85,47.85,18783136,9003.32
2016-06-10,49,50.1,48.8,49.35,49.2,16798529,8296.66
2016-06-09,49.45,49.6,48.3,48.8,48.8,12712526,6229.98
2016-06-08,49.3,50.1,48.6,49.3,49.25,19449071,9600.13
2016-06-07,48.4,48.8,47.6,48.15,48.3,24040392,11598.17
2016-06-06,48.8,50.15,47.65,48.1,47.95,24493390,11834.17
2016-06-03,51,51.25,48.35,48.8,48.9,24943167,12350.33
2016-06-02,49.45,51.1,48.45,50.75,50.75,33018634,16640.34
2016-06-01,47.7,50.35,47.3,49.2,49.25,45109716,22217.32
2016-05-31,49.55,49.7,46.35,47.35,46.95,124745083,58682.53
2016-05-30,49.3,50.65,48.65,48.8,48.85,20882329,10349.28
2016-05-27,47.7,50.4,47.65,49.1,48.95,20460757,10076.5
2016-05-26,47.5,47.9,47.1,47.6,47.5,9488627,4509.04
2016-05-25,47.7,48.15,47.1,47.25,47.35,10671119,5071.85
2016-05-24,49.5,49.6,45.8,47.2,47,27575093,12966.14
2016-05-23,50.55,50.75,49.5,49.6,49.65,6344703,3175.74
2016-05-20,51,51.25,49.95,50.05,50.05,10534188,5316.05
2016-05-19,51,52.9,50.75,50.9,50.9,10837126,5604.95
2016-05-18,50.9,51.6,50.7,51.1,51.15,6053356,3092.96
2016-05-17,51.3,52.4,51,51.15,51.25,8126487,4188.81
2016-05-16,52.1,52.2,50.05,51,51,9536386,4854.17
2016-05-13,53.95,54.2,51.2,51.75,51.7,15513297,8150.64
2016-05-12,54.6,55.2,54.1,54.7,54.65,5770811,3158.11
2016-05-11,54.65,57.3,53.7,54.25,54.3,19289322,10683.8
2016-05-10,55.9,56.4,55.2,55.55,55.6,5665641,3159.53
2016-05-09,54.4,56.1,54.3,56,55.7,6849708,3782.09
2016-05-06,53.9,54.55,53.1,54.15,54.1,6039653,3261.62
